Vendor ID,Vendor name,Service Id,Service Name
561,Rubiinus Fitness and Spa,11708,Kettlebell
561,Rubiinus Fitness and Spa,11709,Bollywood/Aerobics
561,Rubiinus Fitness and Spa,11710,Bokwa
561,Rubiinus Fitness and Spa,11711,Yoga For Body Building
561,Rubiinus Fitness and Spa,11712,Bootcamp
561,Rubiinus Fitness and Spa,18458,Gym Workout + Swimming
561,Rubiinus Fitness and Spa,18459,Swimming Coaching
561,Rubiinus Fitness and Spa,18460,Spinning
561,Rubiinus Fitness and Spa,18909,Swimming Sessions
563,Physique Complete Fitness Studio,1099,Gym workout
563,Physique Complete Fitness Studio,15624,Personal Training
566,Red Gym,328,Gym Workout
569,The Pilates and Altitude Training Studio,9167,Pilates
569,The Pilates and Altitude Training Studio,9168,Altitude Training
570,Beyond Fitness,2023,Gym Workout
570,Beyond Fitness,15200,Personal Training
573,Yogita Goradia,10557,Weight Loss Program
573,Yogita Goradia,10558,Clinical Diet 
573,Yogita Goradia,10559,Exercise Plan
575,Capoeira India,416,Capoeira classes (Kids) at Oshiwara
575,Capoeira India,418,Capoeira Classes at Oshiwara
575,Capoeira India,422,Capoeira classes (kids) at Khar west
